"Time","CPU","WorkingSet","PrivateBytes","Threads"
"2026-09-11T06:33:48.2474007Z","7.8125","27004928","16076800","9"
"2026-09-11T06:33:49.2805510Z","7.84375","27070464","16142336","9"
"2026-09-11T06:33:50.2893239Z","7.890625","27103232","16175104","9"
"2026-09-11T06:33:51.2964526Z","7.890625","27037696","16109568","9"
"2026-09-11T06:33:52.3032965Z","7.90625","27262976","16306176","9"
"2026-09-11T06:33:53.3102774Z","7.9375","27095040","16089088","8"
"2026-09-11T06:33:54.3171836Z","8","26996736","15990784","8"
"2026-09-11T06:33:55.3268178Z","8","27029504","16023552","8"
"2026-09-11T06:33:56.3346488Z","8.015625","27197440","16183296","8"
"2026-09-11T06:33:57.3417723Z","8.078125","27103232","16089088","8"
"2026-09-11T06:33:58.3485256Z","8.109375","27070464","16056320","8"
"2026-09-11T06:33:59.3558032Z","8.109375","26980352","15958016","8"
"2026-09-11T06:34:00.3612239Z","8.125","26980352","15958016","8"
"2026-09-11T06:34:01.3671075Z","8.171875","27078656","16056320","8"
"2026-09-11T06:34:02.3739847Z","8.203125","27078656","16056320","8"
"2026-09-11T06:34:03.3791844Z","8.203125","27049984","16023552","8"
"2026-09-11T06:34:04.3853173Z","8.21875","27049984","16023552","8"
"2026-09-11T06:34:05.3908041Z","8.265625","26984448","15958016","8"
"2026-09-11T06:34:06.3957063Z","8.296875","26996736","16027648","8"
"2026-09-11T06:34:07.4014257Z","8.296875","26996736","16027648","8"
"2026-09-11T06:34:08.4075106Z","8.296875","27127808","16158720","8"
"2026-09-11T06:34:09.4128831Z","8.328125","27009024","16027648","8"
"2026-09-11T06:34:10.4184050Z","8.34375","27082752","16093184","8"
"2026-09-11T06:34:11.4235803Z","8.34375","27017216","16027648","8"
"2026-09-11T06:34:12.4296938Z","8.359375","27213824","16224256","8"
"2026-09-11T06:34:13.4362175Z","8.375","27090944","16093184","8"
"2026-09-11T06:34:14.4414718Z","8.40625","27058176","16060416","8"
"2026-09-11T06:34:15.4471177Z","8.40625","27090944","16093184","8"
"2026-09-11T06:34:16.4543788Z","8.40625","27123712","16125952","8"
"2026-09-11T06:34:17.4601531Z","8.4375","27082752","16076800","8"
