Package: SennpaiStudio.ShaderValidation
dpi=96 landscape 0: 0 failures; max tile candidates=45
dpi=96 landscape 1: 0 failures; max tile candidates=52
dpi=96 landscape 2: 0 failures; max tile candidates=31
dpi=96 landscape 3: 0 failures; max tile candidates=37
dpi=96 landscape 4: 0 failures; max tile candidates=34
dpi=96 landscape 5: 0 failures; max tile candidates=4
dpi=96 landscape 6: 0 failures; max tile candidates=4
dpi=96 portrait 0: 0 failures; max tile candidates=16
dpi=96 portrait 1: 0 failures; max tile candidates=16
dpi=96 portrait 2: 0 failures; max tile candidates=13
dpi=96 portrait 3: 0 failures; max tile candidates=16
dpi=96 portrait 4: 0 failures; max tile candidates=4
dpi=96 portrait 5: 0 failures; max tile candidates=4
dpi=144 landscape 0: 0 failures; max tile candidates=45
dpi=144 landscape 1: 0 failures; max tile candidates=52
dpi=144 landscape 2: 0 failures; max tile candidates=31
dpi=144 landscape 3: 0 failures; max tile candidates=37
dpi=144 landscape 4: 0 failures; max tile candidates=34
dpi=144 landscape 5: 0 failures; max tile candidates=4
dpi=144 landscape 6: 0 failures; max tile candidates=4
dpi=144 portrait 0: 0 failures; max tile candidates=16
dpi=144 portrait 1: 0 failures; max tile candidates=16
dpi=144 portrait 2: 0 failures; max tile candidates=13
dpi=144 portrait 3: 0 failures; max tile candidates=16
dpi=144 portrait 4: 0 failures; max tile candidates=4
dpi=144 portrait 5: 0 failures; max tile candidates=4
dpi=192 landscape 0: 0 failures; max tile candidates=45
dpi=192 landscape 1: 0 failures; max tile candidates=52
dpi=192 landscape 2: 0 failures; max tile candidates=31
dpi=192 landscape 3: 0 failures; max tile candidates=37
dpi=192 landscape 4: 0 failures; max tile candidates=34
dpi=192 landscape 5: 0 failures; max tile candidates=4
dpi=192 landscape 6: 0 failures; max tile candidates=4
dpi=192 portrait 0: 0 failures; max tile candidates=16
dpi=192 portrait 1: 0 failures; max tile candidates=16
dpi=192 portrait 2: 0 failures; max tile candidates=13
dpi=192 portrait 3: 0 failures; max tile candidates=16
dpi=192 portrait 4: 0 failures; max tile candidates=4
dpi=192 portrait 5: 0 failures; max tile candidates=4
PASS: 178464 GPU pixels checked against exhaustive triangle rasterization; 5496 overlap samples; 0 failures; max UV error=4.81471E-07
