ControlType.Pane||Non Client Input Sink Window|960,398,1903,60
ControlType.Pane|||960,398,1903,1455
ControlType.Pane|||960,398,1903,1455
ControlType.Custom|NavigationViewControl||960,446,1903,1212
ControlType.Button|NavigationViewBackButton|返回|966,455,60,54
ControlType.Button|TogglePaneButton|打开导航|966,515,60,54
ControlType.Window|PaneRoot||960,446,72,1212
ControlType.Button|PaneAutoSuggestButton|单击搜索|967,576,60,54
ControlType.Pane|MenuItemsScrollViewer||961,644,71,940
ControlType.Group|MenuItemsHost||967,647,60,234
ControlType.ListItem||添加文件夹|967,647,60,54
ControlType.Text||添加文件夹|Empty
ControlType.ListItem||音乐库|967,708,60,54
ControlType.Text||音乐库|Empty
ControlType.ListItem||播放列表|967,768,60,54
ControlType.Text||播放列表|Empty
ControlType.ListItem||统计|967,828,60,54
ControlType.Text||统计|Empty
ControlType.Pane|FooterItemsScrollViewer||961,1591,71,60
ControlType.Group|FooterMenuItemsHost||967,1594,60,54
ControlType.ListItem|SettingsItem|设置|967,1594,60,54
ControlType.Text||音乐|1058,463,84,56
ControlType.List|PART_ItemsView||1166,451,504,79
ControlType.Pane|PART_ScrollPresenter||1166,451,504,79
ControlType.ListItem|Song|歌曲|1166,457,89,67
ControlType.Text|PART_TextVisual|歌曲|1184,472,53,35
ControlType.ListItem|Album|专辑|1256,457,89,67
ControlType.Text|PART_TextVisual|专辑|1274,472,54,35
ControlType.ListItem|Artist|艺术家|1345,457,117,67
ControlType.Text|PART_TextVisual|艺术家|1363,472,81,35
ControlType.ListItem|Folder|文件夹|1463,457,117,67
ControlType.Text|PART_TextVisual|文件夹|1481,472,81,35
ControlType.ListItem|Favourite|最爱|1580,457,90,67
ControlType.Text|PART_TextVisual|最爱|1598,472,54,35
ControlType.ComboBox|SortByComboBox||2623,461,207,60
ControlType.List|MusicListView||1043,543,1820,1114
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||Run For Cover|Empty
ControlType.Button|||Empty
ControlType.Text||The Killers|Empty
ControlType.Button|||Empty
ControlType.Text||Wonderful Wonderful|Empty
ControlType.Text||03:42|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||星と翼のパラドクス|Empty
ControlType.Button|||Empty
ControlType.Text||菅野よう子|Empty
ControlType.Button|||Empty
ControlType.Text||星と翼のパラドクス|Empty
ControlType.Text||04:54|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||なにが悪い|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||なにが悪い|Empty
ControlType.Text||HQ|Empty
ControlType.Text||03:47|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||ギターと孤独と蒼い惑星|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||ギターと孤独と蒼い惑星|Empty
ControlType.Text||03:48|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||忘れてやらない|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||忘れてやらない|Empty
ControlType.Text||HQ|Empty
ControlType.Text||03:43|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||青春コンプレックス|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||青春コンプレックス|Empty
ControlType.Text||03:25|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||フラッシュバッカー|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Text||HQ|Empty
ControlType.Text||04:35|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||忘れてやらない|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Text||03:43|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||なにが悪い|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Text||03:47|Empty
ControlType.Button|||Empty
ControlType.ListItem||WinUIMusicPlayer.Model.Music|Empty
ControlType.Button|CoverThumbnail||Empty
ControlType.Image|||Empty
ControlType.Button|isFavouriteIconButton||Empty
ControlType.Text||小さな海|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Button|||Empty
ControlType.Text||結束バンド|Empty
ControlType.Text||HQ|Empty
ControlType.Text||03:43|Empty
